timestamp,user,account,amount,description,hour,days_since_last_txn,user_amount_mean,user_amount_std,amount_zscore,anomaly_flag,anomaly_score,flag_reason
2025-02-25 07:00:00,user_14,Revenue,11376.98,transaction,7,1.0,938.8131192660551,1173.2613832506456,8.896710511185404,-1,0.7532562948438344,amount is 8.9 std devs from this user's normal amount
2025-06-11 21:00:00,user_1,Cash,8593.230051608058,transaction,21,0.0,1050.9312126425057,1067.5388841130232,7.0651279791388175,-1,0.747878217816524,amount is 7.1 std devs from this user's normal amount
2025-03-23 10:00:00,user_6,Revenue,10551.103530539956,transaction,10,1.0,1015.306113458809,1269.5054601258648,7.511426863918901,-1,0.7363319944818113,amount is 7.5 std devs from this user's normal amount
2025-05-04 19:00:00,user_4,AR,8172.86,transaction,19,2.0,975.5091089108911,1100.881838499572,6.537805093504508,-1,0.7280950586156918,amount is 6.5 std devs from this user's normal amount
2025-01-08 15:00:00,user_16,Cash,11521.127560303206,transaction,15,0.0,1193.6570108059707,1922.4671577177344,5.371988024886489,-1,0.7262512459999013,amount is 5.4 std devs from this user's normal amount
2025-04-27 19:00:00,user_12,Cash,7722.486597539648,transaction,19,0.0,929.4880402024105,1063.5239309282513,6.38725501118556,-1,0.7213769429096867,amount is 6.4 std devs from this user's normal amount
2025-01-20 16:00:00,user_20,Expenses,8467.152770820978,transaction,16,2.0,1106.857369902351,1124.678349065865,6.544355910320439,-1,0.7181935164274622,amount is 6.5 std devs from this user's normal amount
2025-05-28 06:00:00,user_15,Expenses,5969.12,transaction,6,0.0,1025.1348811237765,1064.9125659158153,4.642620696868611,-1,0.702645122758599,amount is 4.6 std devs from this user's normal amount
2025-02-22 06:00:00,user_2,Revenue,2144.91,transaction,6,10.0,905.588144329897,842.1855663469823,1.4715543761284309,-1,0.7022985013002659,combination of multiple weak signals
2025-02-07 21:00:00,user_19,AR,8896.801881135772,transaction,21,2.0,1239.1220200975667,3097.1946314332495,2.472456778570147,-1,0.7009597498944021,combination of multiple weak signals
2025-03-20 16:00:00,user_9,AP,10405.467203505092,transaction,16,0.0,1191.1262513347021,2489.868461704272,3.7007340322963618,-1,0.6973119271396413,amount is 3.7 std devs from this user's normal amount
2025-06-04 21:00:00,user_9,Cash,7493.01,transaction,21,0.0,1191.1262513347021,2489.868461704272,2.53101071224934,-1,0.6904436541801993,amount is 2.5 std devs from this user's normal amount
2025-06-20 18:00:00,user_7,AR,5486.01,transaction,18,0.0,980.1748648648648,987.9551160110876,4.5607690694772085,-1,0.6823362780120048,amount is 4.6 std devs from this user's normal amount
2025-02-03 09:00:00,user_16,AP,6078.28,transaction,9,5.0,1193.6570108059707,1922.4671577177344,2.540809589170216,-1,0.6797419266641604,amount is 2.5 std devs from this user's normal amount
2025-03-23 17:00:00,user_16,Cash,7481.669074046053,transaction,17,2.0,1193.6570108059707,1922.4671577177344,3.2708033726333845,-1,0.6752988485590282,amount is 3.3 std devs from this user's normal amount
2025-03-20 17:00:00,user_2,AP,4921.69,transaction,17,1.0,905.588144329897,842.1855663469823,4.768666213421497,-1,0.6735774941663506,amount is 4.8 std devs from this user's normal amount
2025-03-16 21:00:00,user_20,AP,4748.88,transaction,21,0.0,1106.857369902351,1124.678349065865,3.2382793117006647,-1,0.6725619859102238,amount is 3.2 std devs from this user's normal amount
2025-04-18 08:00:00,user_7,Cash,5260.13,transaction,8,1.0,980.1748648648648,987.9551160110876,4.332135201056141,-1,0.6715475852976058,amount is 4.3 std devs from this user's normal amount
2025-05-31 06:00:00,user_4,Cash,311.23,transaction,6,13.0,975.5091089108911,1100.881838499572,-0.6034063654063535,-1,0.6680939349114449,combination of multiple weak signals
2025-04-06 11:00:00,user_15,AP,5462.81,transaction,11,0.0,1025.1348811237765,1064.9125659158153,4.167173213004452,-1,0.6676173131408072,amount is 4.2 std devs from this user's normal amount
2025-01-02 21:00:00,user_13,Revenue,4198.556000397091,transaction,21,0.0,955.0250731755742,890.4361432505601,3.6426317056054396,-1,0.6671801906907497,amount is 3.6 std devs from this user's normal amount
2025-03-07 11:00:00,user_1,Cash,98.13,transaction,11,10.0,1050.9312126425057,1067.5388841130232,-0.8925213187284989,-1,0.665538268010114,combination of multiple weak signals
2025-05-04 21:00:00,user_13,Revenue,3691.18,transaction,21,3.0,955.0250731755742,890.4361432505601,3.072825544610107,-1,0.6632197834016968,amount is 3.1 std devs from this user's normal amount
2025-04-26 13:00:00,user_10,AP,4987.69,transaction,13,1.0,959.3157142857143,962.329544964474,4.186065269213987,-1,0.662765170704956,amount is 4.2 std devs from this user's normal amount
2025-01-03 15:00:00,user_15,Expenses,5313.82,transaction,15,0.0,1025.1348811237765,1064.9125659158153,4.027265013243592,-1,0.6614291275413102,amount is 4.0 std devs from this user's normal amount
2025-03-09 11:00:00,user_4,Expenses,4977.52,transaction,11,3.0,975.5091089108911,1100.881838499572,3.6352774213657493,-1,0.6603507804476355,amount is 3.6 std devs from this user's normal amount
2025-05-23 08:00:00,user_8,Expenses,1279.79,transaction,8,11.0,1133.0829177284884,3013.6584485925227,0.04868072635770274,-1,0.6537630795499382,combination of multiple weak signals
2025-01-25 20:00:00,user_13,Cash,3839.68,transaction,20,2.0,955.0250731755742,890.4361432505601,3.2395977507089038,-1,0.6535268913572968,amount is 3.2 std devs from this user's normal amount
2025-02-16 19:00:00,user_13,Expenses,277.47,transaction,19,11.0,955.0250731755742,890.4361432505601,-0.7609249448277581,-1,0.6521857183542848,combination of multiple weak signals
2025-05-31 06:00:00,user_2,AR,1033.45,transaction,6,10.0,905.588144329897,842.1855663469823,0.15182147590668124,-1,0.6512442639392148,combination of multiple weak signals
